paper_id,cluster_id,umap_x,umap_y
0902.0359,4,5.463941,-1.7507348
0904.0917,4,4.0077906,-0.9676194
1002.2650,4,4.801726,-1.8521267
0902.3800,4,4.929473,-1.4744489
1001.3875,4,5.390696,-1.8055087
0811.1303,4,4.9849315,-1.5497357
0803.0310,4,5.261393,-2.2520692
0801.1728,4,5.323071,-2.2385252
0711.0637,4,4.51259,-0.5318312
0808.2727,3,4.602331,4.682049
0911.2027,4,5.6354175,-0.8870688
0901.4249,4,3.9350927,-0.907458
0812.4433,4,4.554764,-0.9762971
0904.0480,4,4.0569315,-0.18484263
0912.0389,4,5.43938,-1.0027065
0912.0483,4,5.4083343,-1.6448753
0901.1852,4,4.158952,-0.28008106
0908.2565,4,5.3730445,-0.68953896
0903.4271,4,5.364471,-0.91528773
1002.2016,4,4.9324465,-1.539384
0905.2426,4,5.6233444,-1.6781435
1002.2482,4,5.7514615,-1.5791985
0707.1078,4,4.659512,4.805344
0907.5272,4,5.2819247,-0.8826309
1001.1327,4,5.5825353,-1.9549721
0812.1115,4,5.5868416,-1.7918614
1001.1536,2,5.087041,4.5318007
0907.0984,4,4.63136,-1.3829428
0809.4426,4,4.9005017,-0.73401767
0810.0552,4,5.2173057,-1.6104431
0903.1866,4,5.5049415,-0.4030079
1001.1203,4,5.498748,-1.7545152
0905.4472,1,3.5710144,5.2590685
0902.1673,4,5.388807,1.6435041
0911.0049,3,1.8657798,7.2537293
0908.3427,3,5.1795797,4.527499
0811.2549,4,5.528513,-2.441051
0801.0583,4,4.9858737,-1.888749
0704.1082,4,5.3531027,-2.3428895
0812.0831,4,5.154859,-1.0247484
0906.1951,4,5.545383,-2.453416
0907.1859,4,5.775686,-0.90445995
0912.4292,4,4.1598177,-0.368495
0911.0407,4,5.4491425,-2.273213
0901.4541,4,4.894696,-1.4510825
0808.1390,4,5.452403,-2.3336477
0904.1582,4,5.57524,-1.9216219
0911.4437,4,5.374545,-0.7547166
0905.4153,4,5.434886,-2.3095577
0810.5754,4,5.654802,-1.9098759
0807.1870,4,3.397436,5.9112206
0911.2153,4,5.592598,-2.2388914
0904.0263,4,3.3539326,0.16418752
0707.0018,4,5.574165,-1.7945142
0907.3686,4,4.8641787,4.5537715
0903.1963,4,5.3998976,-2.3348546
0804.3412,4,4.874321,-1.1701145
1002.0248,4,5.472785,-2.4732838
0906.5006,4,4.9482455,-1.0068964
0812.5034,4,4.800155,-0.99667895
0812.4655,3,2.9855165,4.759652
1002.2413,4,5.4116673,-2.3492496
1001.4990,4,2.5279202,1.5958114
0909.5267,4,4.481378,-0.4532147
1001.2394,2,5.0251102,4.7394934
0903.3830,4,5.5927563,-0.16859329
0910.5189,4,2.5899262,0.26077348
1001.0741,4,3.499154,4.397778
0704.1148,1,3.5130532,5.835738
0905.1161,4,5.1420174,-1.4515585
0906.4991,4,5.0446734,-1.3124553
0906.4300,4,4.4318013,-0.43093312
1001.4515,4,5.650792,-1.4403105
0903.3426,4,5.197752,-2.0691893
0902.1886,1,4.9859853,4.5165257
0912.1750,4,5.47364,-1.7442096
0912.5052,4,4.672552,-0.7324597
1002.0407,4,5.5965424,-0.86661804
0910.3808,4,5.2038765,-1.4189702
0901.0018,4,4.1841393,-0.30896625
0903.1028,4,5.520899,-2.4557428
0709.3426,4,5.7173595,-0.8887544
0906.1369,4,3.3098814,-0.58810216
1002.1873,4,3.5907981,4.883435
0908.2040,4,5.011854,-1.3570126
0903.0689,4,5.740471,-1.8626151
0907.3955,4,3.4381483,5.926166
0905.0390,4,4.5810227,-1.0816705
1002.0453,4,4.1082788,-0.3923038
0809.5214,4,5.528849,-1.0742065
0901.1624,1,5.1623883,4.9857407
0810.1976,4,3.132041,0.48596418
0907.2879,4,4.70831,-1.1467199
0809.3638,4,5.417721,-1.7152485
0812.1238,4,5.2337933,-1.2293878
0906.2580,4,4.337089,-0.69748455
0907.2342,4,2.5385766,5.886067
0812.2482,3,4.666802,4.4157786
0904.3284,4,5.207669,-0.8821004
0904.4783,4,3.670285,2.481493
0812.2924,4,5.10595,4.77854
0911.3680,4,5.625022,-0.7034766
0907.5087,4,5.478694,-1.862175
0910.4486,4,5.384152,-1.5199606
0711.4745,4,4.605064,4.8608794
0905.0968,4,5.580431,-2.4783843
0805.4646,4,5.5952744,-1.8816413
0912.1978,4,5.533797,-1.7878742
0910.0035,4,4.0471773,-0.22905175
1002.2422,4,4.450306,-1.0831823
1001.2740,2,5.135076,4.161879
0711.0268,4,3.6271572,4.3084545
0905.2631,4,4.7951818,-1.6922123
0906.2035,4,5.6713667,-1.6407775
0907.3243,4,4.386806,-0.31451267
0812.3501,4,4.2618694,-0.40232182
0907.5509,4,3.817394,5.1135783
0907.3892,0,5.5886154,-2.1839206
0902.1841,4,4.8086834,4.7277827
0911.5363,4,4.9319396,-0.8971186
0911.1313,1,3.488263,4.398591
0910.0419,4,4.1569695,-0.40523753
